,MP name,Nature of membership,Start of term,End of term,Number of terms,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,House,Paliament Term,TotalGOIRelease,UnSanctionBalance,UnspentBalance,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount,PendInstallNo,PendInstYear,ReasonsforNotRel,ReasonsforNotRel.1,Criminal Case,Total Assets,Liabilities,PARTY SYMBOL,MARGIN,No Of AC Segments,No Of Polling Station,Electors,Avg. No. of Electors Per PS,Nominations,Contestants,Forefeited Deposits,Voters,Voters Turn Out (%),MARGIN/Voters,
297,Sudip Bandyopadhyay,Elected,5/23/2019,In office,5,West Bengal,Kolkata Uttar,All India Trinamool Congress,Male,Graduate Professional,"B.Sc.; Educated at K.N. College, Berhampore, West Bengal",67,22,0,0,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,1,,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",2,61176355,0,Flowers and Grass,127095,7,1862,1444082,776,21,21,19,950639,65.83,0.1336942835,
202,Pashu Pati Kumar Paras,Elected,5/23/2019,In office,1,Bihar,Hajipur,Lok Janasakti Party,Male,Graduate Professional,Information Not Available,Information not available,1,0,3,0.7,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,1,1997-98,,,1,62834200,6744375,Bungalow,205449,6,1827,1823664,998,27,11,9,1007680,55.26,0.2038831772,
324,Manne Srinivas Reddy,Elected,5/23/2019,In office,1,Telangana,Mahabubnagar,Telangana Rashtra Samithi,Male,12th Pass,"B.Com. Educated at Osmania University, Hyderabad, Telangana",61,4,0,36,0.64,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,9.3,0,37,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,1/11/2019,2.5,1,,,,0,63353123,4569251,Car,77829,7,1871,1506102,805,23,12,9,984767,65.39,0.07903290829,
271,Manoj Rajoria,Elected,5/23/2019,In office,2,Rajasthan,Karauli-Dholpur,Bharatiya Janata Party,Male,Post Graduate,"B.H.M.S., M.D.(Homoeopathy)",50,23,4,64,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,3/12/2019,2.5,1,2019-20,,,0,64867148,22121569,Lotus,97682,8,1987,1810574,911,5,5,3,999130,55.18,0.09776705734,
390,Shripad Yesso Naik,Elected,5/23/2019,In office,5,Goa,North Goa,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Goa and Bombay University, Mumbai (Maharashtra) ",67,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/2/2020,2.5,1,1997-98,,,0,65795623,1491387,Lotus,80247,20,842,556761,661,8,6,4,429006,77.05,0.1870533279,
502,P. Raveendranath Kumar,Elected,5/23/2019,In office,1,Tamil Nadu,Theni,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,Information Not Available,40,45,0,42,0.82,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,25-02-2020,2.5,1,,,,0,65803231,32734079,Two Leaves,76693,6,1781,1561040,876,43,30,28,1175008,75.27,0.06527019391,
540,Ramdas Chandrabhanji Tadas,Elected,5/23/2019,In office,2,Maharashtra,Wardha,Bharatiya Janata Party,Male,10th Pass,Undergraduate,66,16,0,95,0.88,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,1,,,,0,65807822,8961387,Lotus,187191,6,2026,1743283,860,16,14,12,1072657,61.53,0.1745115167,
190,Atul Kumar Singh,Elected,5/23/2019,In office,1,Uttar Pradesh,Ghosi,Bahujan Samaj Party,Male,Graduate,Information Not Available,Information not available,0,0,0,0.03,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,,,,,,,,,,,,13,66536025,3454591,Elephant,122568,5,2119,1991651,940,26,15,13,1141480,57.31,0.1073763885,
286,Gajendra Umrao Singh Patel,Elected,5/23/2019,In office,1,Madhya Pradesh,Khargone,Bharatiya Janata Party,Male,Graduate Professional,"B.A., LL.B., Educated at Government College, Barwani, Madhya Pradesh",45,11,0,1,0.89,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,2.5,2.33,2.39,1,2019-2020,24-09-2019,2.5,,,,,0,67303990,1885020,Lotus,202510,8,2350,1834385,781,9,7,5,1428002,77.85,0.1418135269,
530,K.C. Patel,Elected,5/23/2019,In office,2,Gujarat,Valsad,Bharatiya Janata Party,Male,Graduate Professional,M.B.B.S.,71,4,0,0,0.88,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,9/8/2019,2.5,1,,Provisional Utilisation Certificate Pending.,Provisional Utilisation Certificate Pending.,0,68239480,0,Lotus,353797,7,2057,1671030,812,11,9,7,1261364,75.48,0.2804876309,
430,Mohanbhai Kalyanjibhai Kundariya,Elected,5/23/2019,In office,2,Gujarat,Rajkot,Bharatiya Janata Party,Male,8th Pass,SSC,68,7,0,107,0.94,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,16-12-2019,2.5,1,1997-98,,,0,68818120,16566856,Lotus,368407,7,2050,1884339,919,21,10,8,1196300,63.49,0.3079553624,
519,Jitendra Singh,Elected,5/23/2019,In office,2,Jammu and Kashmir,Udhampur,Bharatiya Janata Party,Male,Post Graduate,MBBS,63,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,1.32,2.45,1,2019-2020,18-07-2019,2.5,2,2018-19,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",0,70827203,0,Lotus,357252,17,2710,1685816,622,14,12,10,1182680,70.15,0.3020698752,
480,Rajesh Verma,Elected,5/23/2019,In office,4,Uttar Pradesh,Sitapur,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Economics) 
Educated at Lucknow University, Lucknow and Kanpur University, Kanpur (Uttar Pradesh)",59,6,0,27,0.91,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,5,2.94,4.56,2,2019-2020,26-02-2020,2.5,1,,,,1,73129716,108148,Lotus,100833,5,1985,1666126,839,20,12,10,1065222,63.93,0.09465914147,
384,Pradyut Bordoloi,Elected,5/23/2019,In office,1,Assam,Nawgong,Indian National Congress,Male,Post Graduate,Information Not Available,59,9,0,34,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,3/12/2019,2.5,1,,,,0,74143272,4011152,Hand,16752,9,2283,1794648,786,8,7,5,1493624,83.23,0.01121567409,
491,Jual @ Juel Oram,Elected,5/23/2019,In office,5,Odisha,Sundargarh,Bharatiya Janata Party,Male,Others,"Diploma in Electrical Engineering 
Educated at U.G.I.E., Rourkela (Orissa)",58,3,0,32,0.89,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,3/9/2019,2.5,1,,,,2,74185014,12743330,Lotus,223065,7,1853,1531525,827,11,8,5,1101049,71.89,0.2025931634,
1,S.P. Singh Baghel,Elected,5/23/2019,In office,4,Uttar Pradesh,Agra,Bharatiya Janata Party,Male,Doctorate,"M.Sc., LL.B., Ph.D. Educated at Jiwaji University, Gwalior (Madhya Pradesh), Meerut University and Chaudhary Charan Singh University, Meerut (Uttar Pradesh)",59,9,0,0,0.92,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-10-2019,2.5,1,,,,5,74274036,8606522,Lotus,211546,5,2178,1937690,890,18,9,7,1145629,59.12,0.1846548926,
2,Patel Hasmukhbhai Somabhai,Elected,5/23/2019,In office,1,Gujarat,Ahmedabad East,Bharatiya Janata Party,Male,Others,Information Not Available,59,3,0,9,0.95,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-10-2019,2.5,1,1997-98,,,0,74699690,6252577,Lotus,434330,7,1895,1811851,956,34,26,24,1119064,61.76,0.3881189994,
22,Kunwar Danish Ali,Elected,5/23/2019,In office,1,Uttar Pradesh,Amroha,Bahujan Samaj Party,Male,Graduate,Information Not Available,44,46,0,26,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-10-2019,2.5,1,1997-98,,,0,74920879,19579691,Elephant,63248,5,1804,1646435,913,15,10,8,1169754,71.05,0.05406948811,
174,Mukesh Rajput,Elected,5/23/2019,In office,2,Uttar Pradesh,Farrukhabad,Bharatiya Janata Party,Male,Graduate,B.Sc.,51,17,0,26,0.95,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,5,2.7,4.95,2,2019-2020,6/3/2020,2.5,1,1997-98,,,0,74964501,388246,Lotus,221702,5,1949,1708585,877,22,9,7,1003241,58.72,0.2209857851,
24,Mitesh Rameshbhai Patel,Elected,5/23/2019,In office,1,Gujarat,Anand,Bharatiya Janata Party,Male,Others,"Diploma in Telecom Engineering (Electronics & T.C.) Educated at Board of Technical Examination, Karnataka",54,11,0,19,0.91,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,14-08-2019,2.5,1,,,,2,77043053,7810840,Lotus,197718,7,1847,1655870,897,13,10,8,1110084,67.04,0.1781108457,
7,Sanjay Shamrao Dhotre,Elected,5/23/2019,In office,4,Maharashtra,Akola,Bharatiya Janata Party,Male,Graduate Professional,"B.E. (Mech.); Educated at Government College of Engineering, Amravati, Maharashtra",60,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,14-02-2020,2.5,2,1997-98,,,1,77153230,14985774,Lotus,275596,6,2085,1865169,895,16,11,8,1120185,60.06,0.2460272187,
47,Satya Pal Singh,Elected,5/23/2019,In office,2,Uttar Pradesh,Baghpat,Bharatiya Janata Party,Male,Post Graduate,"M.Sc., M.A., M. Phill, Ph.D., M.B.A.",64,23,2,0,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,1,2017-18,,,1,78195793,0,Lotus,23502,5,1796,1616476,900,13,13,11,1045607,64.68,0.0224768962,
494,Mahendrabhai Munjapara,Elected,5/23/2019,In office,1,Gujarat,Surendranagar,Bharatiya Janata Party,Male,Post Graduate,Information Not Available,51,10,0,5,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-09-2019,2.5,1,,,,0,79084513,14822528,Lotus,277437,7,2178,1849429,849,48,31,29,1080199,58.41,0.2568387862,
486,Francisco Sardinha,Elected,5/23/2019,In office,4,Goa,South Goa,Indian National Congress,Male,Graduate Professional,"B.Sc., B.Ed.; Educated at Chowgule College, Bombay University (Maharashtra) ",73,5,0,22,0.92,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5,0,22,0.92,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,2,-,,,0,79402232,0,Hand,9755,20,810,579352,715,8,6,4,424718,73.31,0.02296818124,
35,Raj Kumar Singh,Elected,5/23/2019,In office,2,Bihar,Arrah,Bharatiya Janata Party,Male,Graduate Professional,B.A. LL.B,67,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,1,1997-98,,,1,79971720,0,Lotus,147285,7,2162,2089353,966,24,11,9,1082464,51.81,0.1360645712,
457,Rajiv Pratap Rudy,Elected,5/23/2019,In office,4,Bihar,Saran,Bharatiya Janata Party,Male,Post Graduate,"B.A. (Hons.) (Eco.), M.A. (Eco.), LL.B., Commercial Pilot Licence Educated at St. Michaels High School, Patna (Bihar), Government College and Panjab University, Chandigarh",57,33,2,65,0.94,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,,,,,,,,,,,,0,80740349,0,Lotus,138411,6,1711,1667253,974,15,12,10,943615,56.6,0.1466816445,
281,Jasbir Singh,Elected,5/23/2019,In office,1,Punjab,Khadoor Sahib,Indian National Congress,Male,Others,Information Not Available,Information not available,22,0,24,0.95,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11,0,24,0.76,Lok Sabha,17th Lok Sabha,5,3.12,3.75,2,2019-2020,19-02-2020,2.5,2,,,,0,81393500,4655000,Hand,140573,9,1902,1638842,862,25,19,16,1048150,63.96,0.1341153461,
462,G. Kishan Reddy,Elected,5/23/2019,In office,1,Telangana,Secunderabad,Bharatiya Janata Party,Male,Others,"Diploma in Tool Engineering, Educated at Central Institute of Tool Engineering , Balanagar, Hyderabad, Telangana",59,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,17-10-2019,2.5,1,,,,0,81430778,4500000,Lotus,62114,7,1809,1968276,1088,51,28,25,915263,46.5,0.06786464656,
82,Giriraj Singh,Elected,5/23/2019,In office,2,Bihar,Begusarai,Bharatiya Janata Party,Male,Graduate,Graduate,67,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,17-10-2019,2.5,1,1997-98,,,6,83024577,12236000,Lotus,422217,7,1944,1958382,1007,21,10,8,1226503,62.63,0.3442445718,
525,Anant Kumar Hegde,Elected,5/23/2019,In office,6,Karnataka,Uttara Kannada,Bharatiya Janata Party,Male,12th Pass,"Educated at M.M. Arts and Science College, Sirsi (Karnataka) ",51,0,0,10,0.82,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/9/2019,2.5,2,2017-18,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",4,84755455,41016655,Lotus,479649,8,1922,1556599,810,17,13,11,1154390,74.16,0.415499961,
5,Bhagirath Chaudhary,Elected,5/23/2019,In office,1,Rajasthan,Ajmer,Bharatiya Janata Party,Male,12th Pass,Information Not Available,65,24,0,19,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-11-2019,2.5,1,,,,0,85101774,8319942,Lotus,416424,8,1951,1876346,962,11,7,5,1263246,67.32,0.3296460072,
263,Kisan Kapoor,Elected,5/23/2019,In office,1,Himachal Pradesh,Kangra,Bharatiya Janata Party,Male,12th Pass,Intermediate,68,2,0,0,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.3,0,4,0.99,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,27-11-2019,2.5,1,,,,2,85841247,3605161,Lotus,477623,17,1876,1427338,761,12,11,9,1009556,70.73,0.4731020369,
15,Chinta Anuradha,Elected,5/23/2019,In office,1,Andhra Pradesh,Amalapuram,Yuvajana Sramika Rythu Congress Party,Female,Graduate,"B.A. Educated at Lalitha Degree College, Osmania University, Hyderabad (now Telangana), Andhra Pradesh",47,7,0,3,0.76,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,0.74,2.5,1,2019-2020,17-09-2019,2.5,2,2018-19,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",0,85993362,2431407,Ceiling Fan,39795,7,1641,1459556,889,13,10,7,1235368,84.64,0.03221307335,
397,Rajendra Dhedya Gavit,Elected,5/23/2019,In office,2,Maharashtra,Palghar,Shiv Sena,Male,Graduate,"B.A. Educated at Mumbai University, Maharashtra",52,11,0,37,0.79,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.5,0.6,82,0.79,Lok Sabha,17th Lok Sabha,2.5,0.84,1.69,1,2019-2020,12/9/2019,2.5,2,2017-18,"Audit Certificate Pending, Utilisation Certificate Pending.","Audit Certificate Pending, Utilisation Certificate Pending.",0,87616920,30223375,Bow and Arrow,88883,6,2170,1885600,869,21,12,10,1202197,63.76,0.07393380619,
27,Hasnain Masoodi,Elected,5/23/2019,In office,1,Jammu and Kashmir,Anantnag,Jammu and Kashmir National Conference,Male,Post Graduate,"M.A., LL.M, Educated at Harvard Law School, Harvard University, USA",66,26,0,20,0.82,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.2,0,18,0.75,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-12-2019,2.5,1,2016-17,"Eligible MPR not Received, Provisional Utilisation Certificate Pending.","Eligible MPR not Received, Provisional Utilisation Certificate Pending.",0,87620672,0,Plough,6676,16,1842,1397779,759,20,18,15,125465,8.98,0.05321005858,
245,Rampreet Mandal,Elected,5/23/2019,In office,1,Bihar,Jhanjharpur,Janata Dal (United),Male,10th Pass,Information Not Available,65,9,0,24,0.95,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-10-2019,2.5,2,-,,,1,88119686,1000000,Arrow,322951,6,1929,1852417,960,20,17,15,1062391,57.35,0.3039850676,
360,Rajiv Ranjan (Lalan) Singh,Elected,5/23/2019,In office,3,Bihar,Munger,Janata Dal (United),Male,Graduate,"B.A. (Hons.); Educated at T.N.B. College, Bhagalpur University, Bihar",65,17,0,40,0.94,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-10-2019,2.5,1,,,,1,88324866,7534918,Arrow,167937,6,1926,1888025,980,21,19,17,1036441,54.9,0.1620323781,
234,Devji Patel,Elected,5/23/2019,In office,3,Rajasthan,Jalore,Bharatiya Janata Party,Male,10th Pass,Matriculation,43,49,3,82,0.86,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-11-2019,2.5,1,1997-98,,,0,88332292,60936530,Lotus,261110,8,2097,2071244,988,28,15,13,1361627,65.74,0.1917632362,
312,Sangeeta Azad,Elected,5/23/2019,In office,1,Uttar Pradesh,Lalganj,Bahujan Samaj Party,Female,Graduate Professional,Information Not Available,38,12,0,5,0.86,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-11-2019,2.5,2,,,,0,88451770,0,Elephant,161597,5,1956,1751980,896,15,15,13,961064,54.86,0.1681438489,
50,Dhal Singh Bisen,Elected,5/23/2019,In office,1,Madhya Pradesh,Balaghat,Bharatiya Janata Party,Male,Others,"A.V.M.S., D.H.B. (Ayurved Vigyanacharya with Modern Medicine and Surgery, Diploma in Trauma and Biochemistry) Educated at Chhattisgarh Ayurvedic College, Raipur, Chhattisgarh",67,13,0,11,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,2.5,1.18,1.18,1,2019-2020,10/10/2019,2.5,,,,,0,88648133,1530693,Lotus,242066,8,2275,1767725,777,25,23,21,1372730,77.66,0.1763391199,
3,Kirit Premjibhai Solanki,Elected,5/23/2019,In office,3,Gujarat,Ahmedabad West,Bharatiya Janata Party,Male,Post Graduate,"M.B.B.S., M.S. and F.I.C.S.; Educated at (i) Smt. N.H.L. Municipal Medial College and K.M. School of Post Graduate Medicine and Research, Sheth V.S. General Hospital , Ahmedabad; (ii) B.J. Medical College and Civil Hospital, Ahmedabad; and (iii) Fellow of",69,72,7,81,0.95,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",0,89474039,0,Lotus,321546,7,1556,1643317,1056,17,13,11,999233,60.81,0.3217928151,
335,Sudhir Gupta,Elected,5/23/2019,In office,2,Madhya Pradesh,Mandsour,Bharatiya Janata Party,Male,Post Graduate,M.Com,60,29,1,159,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,10/10/2019,2.5,,,,,1,90908944,799283,Lotus,376734,8,2157,1760875,816,13,13,11,1371535,77.89,0.2746805586,
291,Mohammad Jawed,Elected,5/23/2019,In office,1,Bihar,Kishanganj,Indian National Congress,Male,Graduate Professional,Information Not Available,Information not available,10,0,19,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/11/2019,2.5,1,1997-98,,,1,90973803,5383958,Hand,34466,6,1626,1659651,1021,16,14,11,1101656,66.38,0.03128562818,
289,Arjun Munda,Elected,5/23/2019,In office,2,Jharkhand,Khunti,Bharatiya Janata Party,Male,12th Pass,"Graduate, Diploma in Social Science; Educated at IGNOU",51,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-01-2020,2.5,1,,,,0,91507865,27106434,Lotus,1445,6,1705,1202664,705,20,11,9,832834,69.25,0.001735039636,
23,Beesetti Venkata Satyavathi,Elected,5/23/2019,In office,1,Andhra Pradesh,Anakapalli,Yuvajana Sramika Rythu Congress Party,Female,Graduate Professional,Information Not Available,53,23,0,8,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,6/9/2019,2.5,2,2018-19,"Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.","Audit Certificate Pending, Eligible MPR not Received, Utilisation Certificate Pending.",0,91526244,11139279,Ceiling Fan,89192,7,1799,1521363,846,14,10,8,1240456,81.54,0.07190259066,
124,Sumathy Thamizhachi Thangapandian,Elected,5/23/2019,In office,1,Tamil Nadu,Chennai South,Dravida Munnetra Kazhagam,Female,Doctorate,Information Not Available,57,13,0,37,0.95,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,5/12/2019,2.5,1,1997-98,,,0,91793460,500000,Rising Sun,262223,6,1895,1973533,1041,50,40,38,1126341,57.07,0.2328096021,
87,Ramesh Chand,Elected,5/23/2019,In office,1,Uttar Pradesh,Bhadohi,Bharatiya Janata Party,Male,10th Pass,Information Not Available,45,2,0,0,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-09-2019,2.5,,,,,6,94089148,21696413,Lotus,43615,5,2151,1942514,903,32,12,10,1039863,53.53,0.04194302519,
